Date	Open	High	Low	Close	Adj Close	Volume
08/06/09	126.379997	128.979996	121.400002	124.449997	116.256264	2598015
09/06/09	124.220001	136.899994	122	136.039993	127.08316	4192215
10/06/09	139.539993	140.600006	131.25	137.479996	128.428345	4020065
11/06/09	137.479996	137.940002	131	134.960007	126.07428	1425295
12/06/09	135.199997	141	131.020004	133.119995	124.355431	2582600
15/06/09	132.699997	133.800003	125.400002	126.059998	117.760239	2170780
16/06/09	123.199997	129	122.800003	126.709999	118.36747	1652170
17/06/09	129.399994	132	122	122.75	114.668205	2675530
18/06/09	124	127	121.400002	123.540001	115.406174	2868540
19/06/09	124.790001	126.970001	122.220001	123.839996	115.686417	2975485
22/06/09	124.980003	124.980003	122.010002	123.57	115.434212	2288380
23/06/09	120.459999	122.610001	114.110001	120.169998	112.258057	1648215
24/06/09	121	124.599998	120.419998	122.510002	114.443977	902905
25/06/09	123.980003	126.400002	121.599998	122.279999	114.229134	993425
26/06/09	123.199997	125.699997	122.760002	122.989998	114.89238	941885
29/06/09	124.389999	129.779999	124	126.959999	118.60099	1683825
30/06/09	127.970001	128.880005	119.529999	120.82	112.865257	1212140
01/07/09	122	124	118	121.559998	113.556557	1550140
02/07/09	122.769997	122.900002	117.010002	117.849998	110.090805	1166940
03/07/09	117.800003	118.919998	115.269997	117.169998	109.455559	2108950
06/07/09	119.199997	119.940002	106.610001	107.970001	100.861298	1783135
07/07/09	109.400002	110.949997	104	104.209999	97.348854	1602385
08/07/09	103.5	103.5	98.209999	101.150002	94.490326	1653535
09/07/09	102.470001	102.980003	98.25	98.959999	92.444511	905865
10/07/09	99.699997	105.360001	99.489998	103.220001	96.424042	5260355
13/07/09	102	103	99.940002	101.199997	94.537025	949800
14/07/09	103	107.940002	102	105.019997	98.10553	4399615
15/07/09	106.199997	109.559998	105.82	108.029999	100.917358	2720310
16/07/09	110	110.199997	105	105.779999	98.815483	1104350
17/07/09	107	109.800003	106.82	108.709999	101.552574	1478485
20/07/09	109.400002	111.980003	109.199997	110.349998	103.084602	1532335
21/07/09	110	111.489998	108.410004	110.660004	103.374184	1452735
22/07/09	111.300003	114.18	110.010002	111.190002	103.869293	1560975
23/07/09	113	113.580002	110.839996	111.449997	104.112175	916475
24/07/09	113	113.199997	111.110001	111.690002	104.336365	817880
27/07/09	112.580002	112.800003	109.599998	111.82	104.457817	799480
28/07/09	112	115.599998	110.709999	112.209999	104.822136	1024430
29/07/09	112	112.220001	107.610001	109.169998	101.982292	754145
30/07/09	109	114	108.419998	111.410004	104.074821	1996945
31/07/09	114.879997	122.940002	112.269997	120.269997	112.351479	8675780
03/08/09	119.879997	124.800003	118.400002	120.150002	112.23938	4752020
04/08/09	120.800003	123.599998	119.059998	120.080002	112.173973	2937470
05/08/09	120.199997	121.540001	118.639999	119.449997	111.585472	1700760
06/08/09	119.980003	119.980003	113.599998	114.260002	106.737175	1059220
07/08/09	113.599998	115	107.099998	108.07	100.954727	2246430
10/08/09	110.400002	113.599998	108.230003	112.290001	104.896873	2032535
11/08/09	112.400002	113.800003	108.800003	109.510002	102.299896	1090665
12/08/09	109.980003	110.400002	107.699997	108.910004	101.73941	876500
13/08/09	110	112.400002	109.400002	110.730003	103.439583	1332100
14/08/09	111.599998	113.400002	109.379997	110.480003	103.206055	1506010
17/08/09	108.330002	109.599998	108	108.389999	101.437256	1294815
18/08/09	108	108.800003	105.400002	107.059998	100.192589	1085890
19/08/09	107.699997	111.360001	105.599998	106.029999	99.228676	2193810
20/08/09	107.199997	108.599998	106	106.050003	99.247391	744805
21/08/09	106	106.639999	104.400002	105.760002	98.975975	1390230
24/08/09	106.57	109	106.099998	107.550003	100.651161	1207660
25/08/09	107.410004	110.540001	107.029999	108.489998	101.530861	1200325
26/08/09	108.760002	112.800003	108.760002	110.589996	103.496162	1449910
